T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Appliances
20.6,43.9,18.85666667,45.09,21.39,41.82666667,20.1,41.9,18.79,50.94142857,4.123333333,87.86666667,19.2,41.56333333,20.89,47.19333333,18.6,46.09571429,4.07,754.8666667,95.66666667,1.666666667,63.66666667,3.43,7.623145729,7.623145729,60
19.29,41.4,18.2,41.4,19.7,40.66333333,18.85666667,38.36333333,17.6,55.6725,0.9,96.01,19.0,34.7,19.6,42.0,17.2,37.79,-0.433,756.9333333,68.0,2.666666667,32.66666667,-5.67,9.562972805,9.562972805,20
21.7,40.4,22.03333333,38.62666667,22.365,38.3175,21.5,38.73,20.39,55.93,12.68,9.914,21.31,34.25,21.53333333,38.09,20.79,41.93333333,9.1,752.8,66.33333333,7.0,40.0,3.13,49.32513449,49.32513449,50
19.0,34.86,16.89,36.33333333,19.53333333,35.62666667,18.2,33.79,17.29,56.645,-0.5,77.69,19.6,34.32666667,20.29,41.16333333,18.0,39.96666667,-0.2,761.9,92.0,4.0,22.0,-1.4,32.35609866,32.35609866,30
22.2,37.5,18.5,42.29,23.29,37.5,20.32333333,39.7,19.52222222,46.92222222,1.145454545,67.8,20.79,37.20875,22.6,43.23,19.79,42.16333333,3.47,758.2333333,87.33333333,2.333333333,25.0,1.53,27.17670676,27.17670676,50
22.1,38.06,21.26,36.56,22.1,39.23,21.5,38.9,18.1,48.79,1.066666667,96.83333333,20.39,36.16333333,21.16333333,43.46666667,18.06666667,39.9,2.92,765.4833333,69.66666667,2.0,40.0,-2.25,6.725676637,6.725676637,120
21.6,44.56,20.96333333,43.96333333,20.5,45.79,20.09666667,47.56666667,19.15833333,52.4725,5.9,85.03333333,17.79,42.76,19.39,48.86333333,16.89,44.5225,5.75,736.05,87.5,6.5,40.0,3.75,9.310880071,9.310880071,390
19.89,42.93333333,19.26,41.16333333,20.42666667,41.43333333,18.7,42.0,18.61111111,56.33888889,6.5,93.9,20.0,39.27722222,22.13888889,46.62833333,18.7,42.36333333,5.5,749.3666667,88.16666667,4.166666667,20.83333333,3.72,11.98701509,11.98701509,100
21.2,36.0,19.6,37.32666667,21.79,35.79,20.2,35.32666667,19.29,42.09,11.06333333,20.03,19.2,30.5,21.7,37.43333333,19.5,36.93333333,9.13,761.1666667,63.83333333,3.0,40.0,2.58,16.14597205,16.14597205,40
21.79,40.09,19.53333333,42.76,22.85666667,37.66333333,21.85666667,38.13333333,19.82333333,48.43333333,7.866666667,54.22666667,20.934,39.016,22.6,44.36,20.0,42.156,6.6,761.5,95.0,2.0,25.0,5.8,14.2167788,14.2167788,60
20.89,37.5,19.29,37.82666667,21.976,37.052,18.66666667,35.4,17.29,45.59,6.793333333,61.99,19.39,29.56666667,20.56,36.67,17.89,41.2,5.83,759.8666667,73.66666667,4.333333333,40.0,1.47,38.18529912,38.18529912,320
21.1,40.79666667,21.16666667,40.43333333,21.89,37.76666667,20.76,39.62666667,20.39,77.3,14.154,15.78,21.2,37.4,21.54,41.96,20.7,42.29333333,10.0,754.6,76.0,2.0,20.0,6.0,42.82515142,42.82515142,280
19.29,40.73,18.7,39.9,19.23,41.93333333,18.82333333,40.06666667,17.29,48.7,3.723333333,67.22666667,18.32333333,35.76,19.63333333,44.7,16.89,40.0,3.53,757.3,79.0,3.0,38.16666667,0.167,34.07212574,34.07212574,110
22.6,34.59,20.0,36.66333333,23.56666667,37.0,22.6,32.9,20.79,41.79,5.69,25.23333333,22.2,34.09,23.83,41.834,20.5,39.0,6.93,763.5,70.0,3.666666667,40.0,1.77,10.55415637,10.55415637,60
21.92666667,34.03,20.03333333,32.46333333,23.53333333,36.66333333,20.92666667,31.82333333,18.1,44.06,7.333333333,27.49666667,23.03333333,25.5,22.5,30.86,19.7,37.79,7.2,767.2,57.0,5.5,27.5,-0.8,48.60672469,48.60672469,220
18.39,38.76,17.5,38.9,18.5,39.2,16.29,38.5,16.2,47.59,3.73,90.03,16.29,33.2,18.0,41.59,15.89,39.7,3.37,761.6,70.16666667,5.833333333,23.66666667,-1.6,37.70620255,37.70620255,30
24.32333333,34.29666667,28.42142857,28.2,24.89,36.72333333,23.79,36.0,21.79,63.99666667,25.57142857,1.0,22.89,32.95571429,24.26,39.82666667,22.26428571,40.99714286,22.0,752.4666667,37.66666667,4.0,40.0,6.93,33.9320536,33.9320536,100
21.0,44.23,20.42666667,43.43333333,20.39,43.545,20.16666667,45.5,17.79,61.22555556,9.8,87.75666667,18.245,45.75333333,17.87888889,49.26,17.1,48.29,9.93,758.7,81.0,10.0,40.0,6.73,8.004056953,8.004056953,50
21.2,38.36333333,18.5,42.5,22.66666667,38.06,19.89,38.9,19.79,47.5,8.763333333,43.69333333,21.29,38.52666667,22.89,44.06,20.29,43.2,8.4,740.5333333,73.0,13.0,40.0,3.77,44.613945,44.613945,60
25.23,40.36666667,26.89,34.2,26.254,37.7,25.1,38.86333333,23.29,43.23,27.07,1.0,24.16666667,37.46666667,23.89,42.0,23.6,41.236,22.6,752.8,47.0,3.0,40.0,10.8,25.89086245,25.89086245,50
21.6,42.5,21.03333333,41.43333333,23.1,43.0,20.29,42.845,20.2,46.59,5.5,76.19333333,19.0,37.87555556,21.6,49.86888889,19.1,46.9,6.03,742.7,79.83333333,8.0,26.33333333,2.72,23.65564439,23.65564439,50
22.29,45.69333333,21.66666667,42.72333333,21.85111111,44.38111111,22.2225,41.7475,19.1,55.29,6.226666667,67.32333333,18.96333333,35.045,20.32333333,42.41666667,18.6,46.12666667,6.13,760.0666667,66.0,8.0,40.0,0.133,27.0113518,27.0113518,70
22.73,46.86,21.79,40.36,22.06666667,43.12333333,18.89,46.43333333,17.1,54.29666667,3.9,74.92666667,17.76,38.19333333,18.92666667,44.69333333,16.85666667,41.66333333,3.6,748.7,83.0,7.666666667,40.0,0.967,6.186178257,6.186178257,100
19.55,43.9,18.89,43.59,20.0,44.79,16.6,46.4,16.7,51.72,8.89,87.095,16.82888889,42.535,18.74,52.43888889,16.39,48.43333333,8.9,758.35,84.5,10.5,33.0,6.4,9.926949453,9.926949453,50
21.7,46.53,20.7,45.9,22.29,44.53,21.13333333,48.23,19.61666667,57.38,8.8,99.9,18.79,45.28,20.5,53.64,18.29,52.16333333,8.6,757.7,95.0,6.0,62.0,7.9,29.69640896,29.69640896,60
21.16666667,40.09,20.1,40.73,21.79,37.82666667,19.89,38.9,19.39,45.09,13.69666667,24.23333333,20.2,35.0,21.39,40.2,19.73,38.73,11.9,754.0,74.33333333,3.0,21.33333333,7.43,27.7870735,27.7870735,50
23.76,31.96333333,23.29,29.03333333,23.39,34.59,23.39,32.4,21.2,40.82666667,17.29,1.0,22.6,27.5,24.76,36.56,20.6,35.35142857,16.1,764.8,34.0,3.0,40.0,0.3,46.9770134,46.9770134,130
21.13333333,44.96,20.5,43.0,23.08888889,45.06666667,20.46333333,43.59,18.6,52.735,8.866666667,98.93333333,18.2,40.08222222,20.29,45.79055556,18.2,45.4,8.6,761.4,92.5,6.5,28.5,7.4,5.366226844,5.366226844,60
20.0,43.9,18.85666667,43.4,19.79,44.46666667,20.16333333,43.83333333,17.6,50.745,5.26,83.43333333,18.13333333,39.32666667,18.5,46.33333333,17.0,42.86333333,5.4,744.7,85.0,7.0,40.0,3.1,30.73224858,30.73224858,80
22.46333333,41.06,21.6,39.96666667,21.5,42.43333333,21.13333333,41.79,19.49388889,56.27722222,3.2,92.19,20.2,39.11055556,23.235,44.90333333,18.6,42.43333333,2.58,748.1833333,95.83333333,3.0,25.83333333,1.95,10.57281127,10.57281127,50
20.89,35.56,17.82333333,39.12666667,21.1,35.2,20.6,33.36333333,18.6,52.13333333,4.433333333,66.56,19.79,28.92666667,21.39,36.4,19.56666667,35.79,3.43,763.6,92.0,2.0,39.66666667,2.23,44.15619291,44.15619291,60
23.62714286,50.34857143,25.1,43.83809524,26.0747619,44.10952381,23.89852941,46.47058824,22.67205882,50.94433824,23.66176471,1.0,23.37959184,43.38357143,23.45714286,50.12857143,23.02857143,46.89285714,20.1,755.2,64.0,7.0,40.0,13.0,24.38000262,24.38000262,80
21.1,36.09,20.0,35.26,20.6,36.36333333,21.6,33.4,17.7,45.09,10.8,20.06666667,20.7,28.86,21.42666667,35.39,18.13333333,40.32666667,9.8,759.4,54.0,2.0,22.0,0.8,49.74212805,49.74212805,90
20.79,40.09,19.16666667,41.56,20.6,38.59,19.29,39.4,19.0,46.32666667,8.16,85.79666667,18.5,35.5,20.7,49.4,18.0,41.29,8.3,749.1666667,86.0,8.0,40.0,6.07,2.46691549,2.46691549,50
20.89,38.96333333,19.29,39.39,21.6,37.72333333,19.79,35.46666667,18.175,45.70875,9.066666667,45.72666667,18.6,30.36714286,19.7,37.93,17.89,36.56666667,5.6,753.2,56.0,1.0,26.0,-2.6,13.93258738,13.93258738,60
19.79,38.0,17.2,41.0,20.6,37.09,18.39,37.09,18.29,42.4,2.933333333,80.03,18.1,32.0,20.5,42.36333333,18.32333333,40.53,2.25,741.55,93.5,1.0,52.0,1.25,26.27020818,26.27020818,50
23.89,40.09,25.414,34.312,24.39,37.7,24.03333333,38.2,20.35,45.29,20.88,1.0,23.1,35.59,22.89,40.09,22.79,40.5,16.4,758.0,61.0,5.0,29.0,8.9,41.96034325,41.96034325,50
22.79,42.09,22.1,40.4,22.5,43.29,19.2,40.4,19.39,50.32055556,2.76,92.19,20.29,38.52833333,23.40222222,43.06166667,18.79,40.03,3.45,738.3,88.5,6.333333333,40.0,1.72,48.32065571,48.32065571,80
19.39,33.33333333,18.89,31.35666667,20.5,34.43333333,19.16666667,32.36,17.1,50.23,4.466666667,35.16666667,19.46333333,28.03333333,20.1,35.33333333,18.16666667,39.9,4.37,762.8833333,57.16666667,7.0,29.16666667,-3.47,39.76508738,39.76508738,70
21.0,34.22333333,20.2,33.79,20.29,34.56,20.89,31.7,18.7,42.09,9.92,21.445,21.42666667,25.7,22.29,32.9,19.6,37.9,9.7,765.0666667,57.33333333,5.0,35.0,1.57,18.63291982,18.63291982,50
21.66666667,41.96666667,19.16666667,43.93333333,22.79,39.56,21.29,39.59,20.7,56.96,6.475,44.14,21.0,36.56428571,22.79,37.7,20.5,39.52666667,7.83,751.6666667,75.33333333,7.0,32.66666667,3.63,37.66517844,37.66517844,50
21.6,37.0,19.2,39.09,21.39,36.76,20.0,35.4,19.0,56.33,1.0625,76.01875,18.63333333,30.92666667,22.1,38.38166667,18.29,36.7,1.63,740.3166667,92.83333333,1.833333333,23.83333333,0.517,27.35398054,27.35398054,120
22.42666667,36.29,20.2,38.73,21.89,35.9,20.39,34.2,18.5,46.06,6.0,61.39,19.66666667,30.66666667,22.79,38.26,19.5,36.09,5.1,762.4,92.0,4.0,64.0,3.9,22.04154815,22.04154815,70
22.7,36.0,19.85666667,39.09,22.39,35.2,20.7,33.93333333,20.0,59.36333333,2.53,35.09666667,21.35666667,24.53333333,22.5,33.56,19.53333333,37.5,3.03,766.7,70.83333333,2.833333333,22.0,-1.88,18.44071165,18.44071165,120
20.03333333,46.36,19.39,44.73,20.29,45.59,19.66666667,46.66333333,18.39,49.9,4.763333333,93.56333333,17.89,45.59,19.05,54.045,17.1,49.36333333,4.97,740.0333333,92.33333333,4.666666667,40.0,3.77,23.81756225,23.81756225,40
25.5,45.93333333,26.0,41.65285714,28.0,40.7,24.7,45.46666667,23.1,52.09,26.32333333,1.0,24.31,44.29,24.218,50.716,23.2,46.62142857,22.9,755.4,55.0,2.333333333,22.66666667,13.3,32.30622392,32.30622392,100
21.2,38.29,18.53333333,41.4,23.2,36.29,19.79,38.0,19.5,47.4,4.69,37.19666667,19.5,31.5,22.39,39.4,19.2,38.03,4.85,763.5,84.0,2.5,40.0,2.35,35.80039984,35.80039984,40
19.0,44.4,18.29,44.29,20.0,45.0,16.5,46.79,16.7,51.765,8.6,96.3,16.86222222,42.82055556,18.5,54.52277778,16.39,49.09,8.5,755.5,94.0,11.0,46.0,7.5,31.42704656,31.42704656,40
21.39,39.09,21.36,39.46666667,21.89,37.5,20.32333333,39.26,19.79,44.5,7.333333333,69.26333333,20.1,33.59,23.1,42.53,20.39,39.0,4.78,760.85,92.33333333,1.833333333,58.5,3.58,32.68961852,32.68961852,100
22.79,39.9,20.2,42.96666667,23.29,39.59,19.89,41.09,20.29,51.56,7.656666667,72.06,21.0,40.5,23.39,49.62666667,19.89,43.06,7.13,748.8333333,96.33333333,2.0,64.0,6.63,35.82688789,35.82688789,60
24.39,43.36666667,25.06,37.12,27.16666667,39.12666667,24.66666667,40.43,22.2,48.0,23.69666667,1.0,24.29,37.938,24.2,46.09,22.7,43.59,20.9,755.95,45.5,2.0,40.0,8.6,14.60437255,14.60437255,520
21.39,39.79,19.66666667,40.86333333,21.5,40.7,19.0,41.09,18.1,52.12666667,3.29,92.33333333,19.1,38.04,21.73,46.04277778,18.05,43.645,2.7,733.2333333,99.0,2.666666667,17.0,2.6,42.01089483,42.01089483,50
19.7,46.0,18.89,45.79,19.89,45.2,18.6,47.29,17.5,54.91111111,11.5,82.69333333,17.79,45.0,17.7,50.59,17.1,48.79,11.1,756.1833333,82.0,9.333333333,30.83333333,8.2,47.47934821,47.47934821,40
18.39,36.32666667,17.66666667,36.06,18.03333333,38.0,18.39,35.09,16.735,39.70888889,3.2,96.93333333,17.245,28.88555556,18.7,36.725,16.0,36.645,4.55,763.8,53.5,1.5,42.5,-4.25,0.712430675,0.712430675,60
22.39,43.86333333,19.89,47.2,24.79,40.96666667,21.39,42.79,21.1,62.13333333,8.9175,52.4475,21.79,41.32666667,24.0,48.13333333,20.79,45.79,10.5,748.9,80.0,2.0,40.0,7.1,17.33389386,17.33389386,70
18.39,46.0,17.79,44.36333333,19.42666667,44.5,18.76,43.76666667,15.39,51.88777778,6.5225,99.9,15.6,41.535,17.89,52.7,15.5,48.0,6.5,767.85,94.66666667,5.833333333,43.66666667,5.7,46.28387688,46.28387688,310
24.39,44.56,23.2,43.754,26.73,39.23,24.89,43.36333333,22.53333333,59.12666667,14.39,26.15666667,24.29,44.12142857,24.5,50.43333333,22.6,44.5,15.0,756.1,78.5,3.166666667,63.16666667,11.2,3.884818137,3.884818137,60
18.85666667,39.5,16.89,41.23,19.89,37.5,18.46333333,37.43,17.6,50.1,2.566666667,75.03,17.85666667,32.22333333,20.2,43.0,18.0,40.46333333,2.8,746.65,95.0,6.0,21.0,2.0,45.89833707,45.89833707,40
22.82333333,41.53,21.6,41.26666667,23.5,39.43333333,22.89,39.2,21.2,76.46,13.63,18.36666667,21.29,35.97142857,24.17142857,44.45714286,20.63333333,41.82666667,13.6,751.8666667,68.0,2.0,40.0,7.77,35.01214159,35.01214159,70
21.39,43.79,19.89,44.59,22.0,43.79,21.03333333,44.03,18.5,55.9,10.11285714,75.34142857,18.5,41.59,21.7,53.02666667,18.6,47.29,10.0,752.5,82.0,10.0,40.0,7.07,14.83927482,14.83927482,50
22.2,35.09,19.56666667,36.82666667,22.2,35.6725,20.89,34.09,20.06666667,51.96333333,4.726666667,15.19666667,19.5,29.29,23.56666667,40.65666667,19.6,38.29,6.57,766.0,68.66666667,1.333333333,40.0,1.13,32.03359694,32.03359694,60
25.29,48.73,23.73857143,49.19714286,26.5,44.7,25.29,45.878,24.1,51.09,14.26333333,49.69333333,24.96333333,43.2,26.71285714,51.13714286,24.12857143,47.7,14.4,745.5,89.66666667,1.0,23.0,12.7,35.71187165,35.71187165,60
20.89,40.76,17.92666667,45.26,23.1,39.79,20.29,38.29,20.2,47.2,2.826666667,53.09666667,21.29,37.736,22.89,42.2,20.5,43.2,4.38,751.65,91.33333333,2.0,23.5,3.12,36.12647725,36.12647725,70
22.1,42.32666667,21.1,42.73,23.86,39.25666667,21.1,41.53,20.5,46.73333333,16.03,17.0,21.5,37.23,23.39,40.79,20.89,42.43,11.4,750.95,75.5,3.0,34.5,7.25,18.33272834,18.33272834,360
22.2,39.5,21.29,38.29,21.39,42.4,20.7,41.4,18.53333333,53.29,0.4,96.4,19.6,39.66333333,21.23,47.09666667,17.79,43.0,0.8,764.5,96.0,3.0,65.0,0.2,43.79594945,43.79594945,50
21.2,38.0,18.1,41.4,22.39,37.9,21.39,35.2,19.89,47.9,1.76,46.95666667,20.33,31.29,21.79,42.76,20.0,41.23,3.47,767.3,88.0,3.0,28.33333333,1.6,26.74853221,26.74853221,50
22.6,39.4,19.6,44.03,23.32333333,39.5,19.79,40.79,20.1,50.7,6.656666667,71.56,21.0,40.4,23.1,48.56,20.0,43.7,6.67,749.2,96.66666667,4.333333333,37.66666667,6.17,42.14010182,42.14010182,60
22.29,41.5,19.79,44.79,24.0,39.59,21.79,40.16333333,20.89,51.59,9.3,48.85,21.29,36.29,23.2,48.13333333,20.89,44.59,10.0,744.7,82.5,6.833333333,40.0,7.17,36.48183597,36.48183597,60
21.63333333,41.69333333,21.53333333,39.22333333,22.2,38.26,20.63333333,37.79,20.0,46.27,15.1,5.856666667,21.48428571,33.53857143,22.76,37.46333333,20.5,39.52666667,11.8,750.05,61.0,6.5,34.5,4.35,16.06706379,16.06706379,100
19.6,36.15666667,17.5,37.56,19.87,37.816,17.79,35.03,18.0,42.81142857,0.2,78.76,18.1,29.26,20.73,39.3,17.79,39.72333333,0.0667,754.6,83.66666667,3.666666667,64.33333333,-2.4,16.23247471,16.23247471,50
22.39,35.36333333,19.1,38.59,21.29,35.4,22.39,33.09,18.92666667,63.66666667,2.29,61.83333333,20.79,27.42666667,22.73,40.4,19.89,37.59,2.0,764.1,89.0,1.0,61.0,0.4,3.474741592,3.474741592,50
21.92666667,40.59,19.39,44.06,22.85666667,39.66333333,20.42666667,38.62666667,20.0,46.63714286,6.695,56.395,21.7,37.26,22.79,41.59,20.13333333,41.62666667,6.6,751.2,97.0,1.0,29.0,6.1,20.00948346,20.00948346,50
18.79,44.5,18.1,43.96666667,19.5,43.9,18.39,44.09,19.3,66.79,5.59,79.4,18.0,44.83333333,18.6,52.3,17.2,49.96333333,5.07,754.0333333,89.33333333,5.666666667,33.33333333,3.4,17.36153389,17.36153389,50
22.89,46.4,21.89,45.46666667,21.89,46.79,19.63333333,50.2,20.53888889,59.03444444,11.56666667,99.9,19.1,50.4,21.86777778,53.045,17.1,51.06,11.7,754.3,93.0,8.0,22.0,10.6,14.81180904,14.81180904,100
25.1,43.7,23.5,44.7,26.79,40.29,25.5,42.5,23.5,48.76,15.13,48.06333333,24.2,41.44,25.39,51.29,23.79,48.64,15.2,752.55,94.0,2.166666667,21.0,14.2,43.35521471,43.35521471,50
21.26,39.86,19.2,40.2,21.6,36.9,18.0,34.79,17.39,47.79,-0.533333333,77.69,18.32333333,31.53333333,21.075,38.1725,17.63333333,35.82666667,1.95,752.05,91.5,1.0,29.0,0.7,10.45163776,10.45163776,110
20.56666667,37.09,19.39,37.5,19.89,37.5,19.1,36.96666667,17.6,46.7,3.73,75.3,18.0,32.09,21.32333333,40.0,17.79,37.5,2.47,747.4,92.66666667,4.0,54.0,1.33,38.49602313,38.49602313,80
24.79,52.63333333,24.0,51.45666667,26.1,45.79,24.29,50.63333333,23.0,54.5,18.96,33.16666667,23.7,48.29,26.0,53.754,23.29,51.536,16.0,750.0666667,92.66666667,2.0,30.0,14.8,20.72744485,20.72744485,200
21.79,36.0,18.63333333,38.32666667,22.6,35.975,20.79,32.4,18.6,44.4,2.0,40.03,20.0,27.29,22.79,38.8,19.53333333,38.59,1.8,765.9166667,78.0,4.0,27.33333333,-1.63,44.87979896,44.87979896,50
20.92666667,45.59,20.29,44.29,20.16666667,45.53,21.89,46.96666667,19.0,50.03,4.866666667,91.26,17.79,45.86333333,19.29,53.5,16.89,46.29,5.15,737.9,92.0,5.5,40.0,3.95,43.06047384,43.06047384,50
21.39,39.79,19.56666667,40.93333333,21.5,40.7,19.0,41.2,18.1,52.09,3.29,92.43333333,19.1,38.015,21.71,47.08388889,18.1,44.06,2.7,733.2666667,99.0,2.333333333,18.0,2.6,27.03393078,27.03393078,50
21.1,35.86333333,18.89,37.79,21.2,34.9,20.7225,33.2675,18.5,47.06666667,9.196666667,34.75666667,19.7,28.79,21.66666667,35.29,19.6,37.06666667,8.3,762.3,69.0,3.0,29.0,2.8,34.77027427,34.77027427,50
24.03333333,44.93333333,22.39,45.29,26.7,40.29,24.5,42.2,22.39,56.36333333,13.53333333,37.9,24.2,45.378,24.29,49.9,22.7,45.95,13.7,755.55,86.16666667,3.5,54.33333333,11.3,26.40645741,26.40645741,60
25.1,39.96333333,23.39285714,36.85428571,23.76,32.46,24.89,34.13333333,23.99857143,39.66571429,11.0,1.0,24.7,27.39,26.478,33.476,23.1,30.716,10.9,758.65,52.5,7.5,34.5,1.5,27.4267275,27.4267275,110
24.89,38.86333333,23.96333333,37.62666667,25.39,37.59,24.39,37.5,22.7,58.13333333,15.0,12.516,23.7,37.11428571,25.1,43.116,22.39,40.34,16.3,751.6666667,68.66666667,1.0,40.0,10.5,47.90928437,47.90928437,50
23.2,36.4,20.84,38.09,22.6,36.29,19.89,38.29,19.2,43.43333333,7.09,47.25666667,19.2,34.2,22.1,43.12666667,18.89,38.56,6.8,756.3,90.0,3.0,40.0,5.2,22.51134093,22.51134093,60
21.6,35.46666667,19.5,37.09,22.35666667,34.62666667,20.63,34.06,18.175,54.445,0.6,51.23,21.0,24.79,22.79,34.45,18.39,38.09,0.75,763.6,78.5,2.5,24.0,-2.55,21.66593242,21.66593242,110
20.2225,40.4725,18.46333333,41.76,21.16666667,40.56,18.66666667,40.89,17.89,51.52444444,2.7,92.09,19.12777778,38.73777778,21.08333333,46.19777778,18.2,45.19333333,2.42,735.4666667,97.0,1.0,37.5,2.0,42.89502881,42.89502881,140
22.96333333,38.12666667,23.1,36.06,22.7,38.26,22.0,36.79,20.89,44.356,16.975,4.92,23.39,31.5,23.22571429,35.75142857,20.79,39.7,13.3,752.0333333,57.33333333,4.666666667,40.0,4.97,47.12024133,47.12024133,50
21.2,36.43333333,18.1,40.4,22.2,35.0,20.32,34.8425,19.6,46.09,2.4975,41.0,19.33,29.7,22.16666667,40.76,19.5,39.12428571,1.7,764.5,94.0,1.0,27.0,0.8,20.66024175,20.66024175,80
18.6,38.93,16.7,41.4,20.0,37.59,17.79333333,38.13333333,17.6,51.725,3.26,75.36666667,18.0,32.5,20.23,43.46666667,18.0,41.83333333,2.9,746.3,95.0,5.666666667,20.0,2.1,12.40743697,12.40743697,70
21.7,44.15666667,20.23,44.73,21.79,42.7,21.6,42.79666667,18.79,71.29714286,5.8,87.69,19.745,42.8425,21.73,46.96666667,18.55714286,44.75428571,5.4,753.0,96.0,1.5,44.5,4.85,33.70915066,33.70915066,110
21.29,35.46666667,19.26,37.26,22.5,33.96666667,21.03333333,33.96333333,18.5,43.7,9.5,24.79333333,19.2,29.2,22.5,37.2,19.42666667,35.43333333,7.02,762.2666667,68.83333333,3.0,38.16666667,1.6,15.36515285,15.36515285,80
22.0,39.66333333,25.42666667,33.63333333,23.2,37.53,22.39,38.29,20.26,44.2,12.3,9.256666667,20.79,36.236,22.29,42.09,20.29,41.4,9.97,763.0,75.33333333,5.0,40.0,5.7,3.96625062,3.96625062,60
21.2,41.63333333,18.1,46.1725,23.445,39.05,21.29,38.2,20.39,46.42857143,3.133333333,55.69333333,20.7,34.79,22.5,43.7,20.39,45.7,1.8,753.8333333,99.0,1.0,66.0,1.7,38.6002765,38.6002765,40
21.6,40.73,20.23,42.79,22.39,38.2,21.0,39.66333333,19.89,46.83333333,10.73333333,54.56666667,21.2,37.43,23.0,42.76,20.29,42.79,8.88,739.9666667,88.83333333,10.5,59.16666667,7.02,19.26176528,19.26176528,380
21.89,36.16333333,19.29,38.5,21.82333333,35.62666667,20.63333333,34.79,18.5,44.03,5.69,48.9,19.29,30.39,22.39,41.06666667,19.39,37.93333333,5.15,762.4,83.0,3.0,23.5,2.5,10.2622533,10.2622533,60
19.6,37.96666667,17.13333333,40.59,20.5,36.46666667,18.76,35.2,17.7,45.09,-0.3,78.5,18.1,33.2925,19.7,41.33333333,17.5,38.4,0.0333,756.6666667,99.66666667,2.0,38.33333333,-0.0333,23.81071224,23.81071224,50
21.2,47.29,20.29,47.4,21.6,46.79,18.73,49.2,19.39,52.0,10.66,99.9,19.05,50.965,20.89,57.32055556,17.66666667,52.96666667,10.6,758.85,94.0,6.0,51.66666667,9.63,2.724695369,2.724695369,20
25.15,36.145,26.06666667,31.39,26.236,37.4,25.0,35.56,24.23,32.46,27.1,1.0,24.1,31.456,24.73857143,34.4,23.1,37.96666667,26.0,750.8,28.66666667,5.0,40.0,6.2,1.924234058,1.924234058,60
